iter	RMSE
0	3.151290038
1	3.068140119
2	2.998638434
3	2.940375895
4	2.897946017
5	2.857461205
6	2.827276735
7	2.788864317
8	2.745807473
9	2.713138378
10	2.687246992
11	2.665457223
12	2.644687835
13	2.621411953
14	2.602400293
15	2.585178115
16	2.569309976
17	2.557688505
18	2.545597787
19	2.53909112
20	2.532660437
21	2.521910752
22	2.513075184
23	2.504615924
24	2.49610614
25	2.49108746
26	2.485612203
27	2.482480012
28	2.475934552
29	2.472044979
30	2.471526251
31	2.467705527
32	2.466341538
33	2.462802749
34	2.460311392
35	2.458162444
36	2.454943947
37	2.452076964
38	2.45092379
39	2.448012364
40	2.445992663
41	2.445681876
42	2.44217472
43	2.439718697
44	2.439029367
45	2.437255273
46	2.435331852
47	2.434248283
48	2.432718835
49	2.431251248
50	2.429488716
51	2.429353257
52	2.428570881
53	2.426589668
54	2.424957123
55	2.422225438
56	2.421210647
57	2.420291814
58	2.418933904
59	2.417486685
60	2.417420792
61	2.416736666
62	2.415469374
63	2.414798867
64	2.413364507
65	2.413158118
66	2.411492363
67	2.410147766
68	2.409853892
69	2.409068978
70	2.408129759
71	2.40760935
72	2.407609309
73	2.406396344
74	2.405926144
75	2.405030999
76	2.404183761
77	2.404183739
78	2.403924423
79	2.403423351
80	2.4028445
81	2.402516482
82	2.401579173
83	2.400631745
84	2.399642416
85	2.399277799
86	2.399277788
87	2.396392576
88	2.396257776
89	2.393898953
90	2.39371748
91	2.393061705
92	2.392604676
93	2.392465732
94	2.391427878
95	2.391386704
96	2.390489142
97	2.389898477
98	2.389008464
99	2.387988519
100	2.386959415
101	2.386916519
102	2.386012911
103	2.386012838
104	2.38599885
105	2.385970314
106	2.385223637
107	2.385009476
108	2.384860511
109	2.38460681
110	2.383868901
111	2.383786107
112	2.382219094
113	2.381491088
114	2.381157292
115	2.380472068
116	2.379763663
117	2.379660327
118	2.379595366
119	2.379409586
120	2.379093475
121	2.379056924
122	2.378650411
123	2.377706598
124	2.377479407
125	2.376789812
126	2.375788252
127	2.375352958
128	2.375180648
129	2.374984141
130	2.374085226
131	2.373428117
132	2.373209569
133	2.371614942
134	2.371561955
135	2.3711998
136	2.369511229
137	2.368938726
138	2.368881805
139	2.368376898
140	2.367880334
141	2.367343022
142	2.367111393
143	2.365977795
144	2.36596651
145	2.365661304
146	2.365386949
147	2.364310681
148	2.364250108
149	2.363364846
