iter	Passed	Remaining
0	76	11373
1	101	7485
2	127	6223
3	140	5122
4	150	4366
5	166	4004
6	187	3826
7	199	3547
8	216	3393
9	232	3256
10	253	3209
11	267	3075
12	293	3089
13	315	3066
14	337	3034
15	360	3015
16	370	2899
17	386	2830
18	397	2742
19	410	2667
20	430	2646
21	445	2594
22	461	2549
23	472	2481
24	490	2452
25	501	2390
26	519	2367
27	531	2314
28	549	2294
29	563	2254
30	575	2207
31	589	2174
32	620	2198
33	642	2191
34	660	2170
35	679	2150
36	691	2112
37	712	2100
38	723	2060
39	748	2059
40	759	2019
41	771	1985
42	782	1946
43	790	1904
44	804	1877
45	819	1852
46	830	1820
47	845	1796
48	853	1759
49	865	1730
50	877	1703
51	881	1661
52	889	1627
53	907	1612
54	915	1581
55	930	1562
56	945	1543
57	956	1517
58	975	1505
59	990	1485
60	1002	1462
61	1020	1448
62	1049	1449
63	1078	1449
64	1103	1442
65	1120	1425
66	1149	1424
67	1178	1421
68	1196	1404
69	1220	1394
70	1251	1391
71	1279	1385
72	1283	1354
73	1308	1343
74	1324	1324
75	1342	1307
76	1372	1301
77	1381	1275
78	1396	1255
79	1413	1236
80	1433	1221
81	1449	1202
82	1472	1188
83	1484	1166
84	1506	1151
85	1515	1127
86	1526	1105
87	1543	1087
88	1553	1064
89	1574	1049
90	1590	1031
91	1608	1013
92	1620	992
93	1644	979
94	1672	968
95	1699	956
96	1716	937
97	1746	926
98	1774	914
99	1799	899
100	1827	886
101	1849	870
102	1877	856
103	1903	841
104	1912	819
105	1936	803
106	1950	783
107	1962	763
108	1971	741
109	1980	720
110	1989	699
111	1997	677
112	2006	657
113	2016	636
114	2025	616
115	2046	599
116	2061	581
117	2078	563
118	2091	544
119	2108	527
120	2120	508
121	2140	491
122	2152	472
123	2172	455
124	2182	436
125	2202	419
126	2218	401
127	2236	384
128	2248	366
129	2272	349
130	2292	332
131	2316	315
132	2341	299
133	2373	283
134	2404	267
135	2423	249
136	2468	234
137	2489	216
138	2504	198
139	2519	179
140	2537	161
141	2548	143
142	2566	125
143	2575	107
144	2592	89
145	2608	71
146	2624	53
147	2635	35
148	2644	17
149	2662	0
